zcta,total_pop,under18,over65,median_age
80530,6242.0,1451.0,1100.0,35.7
80532,185.0,43.0,79.0,40.5
80534,20502.0,5337.0,3320.0,35.0
80535,1896.0,169.0,792.0,53.1
80536,2383.0,453.0,999.0,55.8
80537,44425.0,8331.0,12547.0,41.1
80538,50110.0,9884.0,15496.0,42.9
80540,4642.0,991.0,1290.0,48.1
80542,5155.0,1586.0,887.0,39.4
80543,9774.0,2739.0,1496.0,32.0
80544,0.0,0.0,0.0,
80545,937.0,49.0,445.0,59.4
80546,271.0,130.0,51.0,39.7
80547,8821.0,2911.0,1451.0,35.9
80549,14325.0,4178.0,2073.0,35.9
80550,46456.0,11386.0,9177.0,38.0
80601,42127.0,11632.0,6825.0,34.0
80602,44783.0,11859.0,7992.0,38.8
80603,16811.0,4567.0,2982.0,36.6
80610,4132.0,990.0,925.0,35.7
80611,557.0,86.0,219.0,53.3
80612,494.0,101.0,170.0,57.1
80615,9060.0,2060.0,1919.0,39.0
80620,20798.0,5634.0,2766.0,30.0
80621,15060.0,3691.0,3082.0,36.3
80622,282.0,74.0,0.0,40.1
80623,1026.0,288.0,190.0,35.3
80624,685.0,84.0,218.0,50.7
80631,53722.0,13440.0,7168.0,28.7
80634,65622.0,15866.0,15588.0,38.5
80640,13818.0,3690.0,1760.0,34.9
80642,4466.0,1069.0,854.0,38.4
80643,5119.0,1241.0,1003.0,36.3
80644,2124.0,426.0,675.0,50.3
80645,4917.0,1219.0,995.0,38.1
80646,0.0,0.0,0.0,
80648,902.0,175.0,287.0,51.3
80649,263.0,30.0,172.0,61.7
80650,2192.0,547.0,538.0,33.6
80651,4837.0,909.0,1138.0,43.6
80652,299.0,52.0,37.0,39.7
80653,939.0,194.0,342.0,46.8
80654,3657.0,932.0,884.0,36.4
80701,16226.0,4498.0,3439.0,34.8
80705,1102.0,247.0,280.0,32.8
80720,2247.0,402.0,778.0,45.6
80721,257.0,126.0,20.0,22.1
80722,374.0,108.0,143.0,43.8
